Date,Close
10/1/2018 16:00:00,70.82
10/2/2018 16:00:00,69.48
10/3/2018 16:00:00,69.71
10/4/2018 16:00:00,66.14
10/5/2018 16:00:00,65.82
10/8/2018 16:00:00,65.16
10/9/2018 16:00:00,66.57
10/10/2018 16:00:00,60.54
10/11/2018 16:00:00,60.53
10/12/2018 16:00:00,61.12
10/15/2018 16:00:00,60.1
10/16/2018 16:00:00,61.35
10/17/2018 16:00:00,60.84
10/18/2018 16:00:00,59.55
10/19/2018 16:00:00,60.71
10/22/2018 16:00:00,60.61
10/23/2018 16:00:00,60.7
10/24/2018 16:00:00,58.46
10/25/2018 16:00:00,60.24
10/26/2018 16:00:00,59.71
10/29/2018 16:00:00,59.17
10/30/2018 16:00:00,59.13
10/31/2018 16:00:00,60.58
11/1/2018 16:00:00,61.77
11/2/2018 16:00:00,63.78
11/5/2018 16:00:00,63.56
11/6/2018 16:00:00,62.67
11/7/2018 16:00:00,63.51
11/8/2018 16:00:00,61.38
11/9/2018 16:00:00,60.32
11/12/2018 16:00:00,59.21
11/13/2018 16:00:00,60.37
11/14/2018 16:00:00,60.82
11/15/2018 16:00:00,60.78
11/16/2018 16:00:00,60.55
11/19/2018 16:00:00,58.92
11/20/2018 16:00:00,57.68
11/21/2018 16:00:00,59.08
11/23/2018 13:00:00,58.54
11/26/2018 16:00:00,58.15
11/27/2018 16:00:00,57.63
11/28/2018 16:00:00,59.03
11/29/2018 16:00:00,58.57
11/30/2018 16:00:00,56.83
12/3/2018 16:00:00,59.81
12/4/2018 16:00:00,58.19
12/6/2018 16:00:00,57.67
12/7/2018 16:00:00,56.67
12/10/2018 16:00:00,56.01
12/11/2018 16:00:00,56.69
12/12/2018 16:00:00,57.59
12/13/2018 16:00:00,57.96
12/14/2018 16:00:00,56.45
12/17/2018 16:00:00,56.3
12/18/2018 16:00:00,57.58
12/19/2018 16:00:00,56.36
12/20/2018 16:00:00,56.75
12/21/2018 16:00:00,56.66
12/24/2018 13:00:00,54.81
12/26/2018 16:00:00,56.72
12/27/2018 16:00:00,57.54
12/28/2018 16:00:00,58.01
12/31/2018 16:00:00,58.46
1/2/2019 16:00:00,57.9
1/3/2019 16:00:00,55.57
1/4/2019 16:00:00,57.39
1/7/2019 16:00:00,57.79
1/8/2019 16:00:00,59.39
1/9/2019 16:00:00,60.44
1/10/2019 16:00:00,59.8
1/11/2019 16:00:00,59.1
1/14/2019 16:00:00,57.69
1/15/2019 16:00:00,57.48
1/16/2019 16:00:00,56.75
1/17/2019 16:00:00,56.55
1/18/2019 16:00:00,57.65
1/22/2019 16:00:00,57.76
1/23/2019 16:00:00,58.5
1/24/2019 16:00:00,58.5
1/25/2019 16:00:00,59.47
1/28/2019 16:00:00,59.17
1/29/2019 16:00:00,62
1/30/2019 16:00:00,63.97
1/31/2019 16:00:00,64.25
2/1/2019 16:00:00,65.07
2/4/2019 16:00:00,64.88
2/5/2019 16:00:00,66.16
2/6/2019 16:00:00,65.16
2/7/2019 16:00:00,64.3
2/8/2019 16:00:00,64.74
2/11/2019 16:00:00,64.82
2/12/2019 16:00:00,66.84
2/13/2019 16:00:00,66.27
2/14/2019 16:00:00,65.61
2/15/2019 16:00:00,66.3
2/19/2019 16:00:00,67.51
2/20/2019 16:00:00,67.32
2/21/2019 16:00:00,67.14
2/22/2019 16:00:00,67.88
2/25/2019 16:00:00,68.5
2/26/2019 16:00:00,69.06
2/27/2019 16:00:00,68.66
2/28/2019 16:00:00,68.61
3/1/2019 16:00:00,69.89
3/4/2019 16:00:00,69.66
3/5/2019 16:00:00,69.91
3/6/2019 16:00:00,68.86
3/7/2019 16:00:00,68.12
3/8/2019 16:00:00,68.85
3/11/2019 16:00:00,68.97
3/12/2019 16:00:00,69.62
3/13/2019 16:00:00,70.35
3/14/2019 16:00:00,71.31
3/15/2019 16:00:00,72.15
3/18/2019 16:00:00,72.08
3/19/2019 16:00:00,72.43
3/20/2019 16:00:00,73.13
3/21/2019 16:00:00,72.59
3/22/2019 16:00:00,70.67
3/25/2019 16:00:00,71.85
3/26/2019 16:00:00,72.65
3/27/2019 16:00:00,72.85
3/28/2019 16:00:00,73.14
3/29/2019 16:00:00,73.71
4/1/2019 16:00:00,74.87
4/2/2019 16:00:00,75.22
4/3/2019 16:00:00,75.17
4/4/2019 16:00:00,75.05
4/5/2019 16:00:00,75.46
4/8/2019 16:00:00,74.78
4/9/2019 16:00:00,73.64
4/10/2019 16:00:00,76.16
4/11/2019 16:00:00,77.52
4/12/2019 16:00:00,77.7
4/15/2019 16:00:00,77.34
4/16/2019 16:00:00,77.87
4/17/2019 16:00:00,79.27
4/18/2019 16:00:00,79.36
4/22/2019 16:00:00,79.12
4/23/2019 16:00:00,77.86
4/24/2019 16:00:00,77.59
4/25/2019 16:00:00,77.48
4/26/2019 16:00:00,77.32
4/29/2019 16:00:00,77.39
4/30/2019 16:00:00,78.58
5/1/2019 16:00:00,78.35
5/2/2019 16:00:00,78.29
5/3/2019 16:00:00,79.85
5/6/2019 16:00:00,77.56
5/7/2019 16:00:00,74.78
5/8/2019 16:00:00,76.04
5/9/2019 16:00:00,75.36
5/10/2019 16:00:00,76
