Date,Close
10/1/2018 16:00:00,48.87
10/2/2018 16:00:00,49.01
10/3/2018 16:00:00,49.14
10/4/2018 16:00:00,48.38
10/5/2018 16:00:00,48.13
10/8/2018 16:00:00,47.52
10/9/2018 16:00:00,47.49
10/10/2018 16:00:00,45.63
10/11/2018 16:00:00,44.12
10/12/2018 16:00:00,45.71
10/15/2018 16:00:00,44.67
10/16/2018 16:00:00,45.82
10/17/2018 16:00:00,45.94
10/18/2018 16:00:00,45.46
10/19/2018 16:00:00,45.34
10/22/2018 16:00:00,45.76
10/23/2018 16:00:00,45.42
10/24/2018 16:00:00,44.07
10/25/2018 16:00:00,45.47
10/26/2018 16:00:00,44.25
10/29/2018 16:00:00,43.84
10/30/2018 16:00:00,44.58
10/31/2018 16:00:00,45.75
11/1/2018 16:00:00,45.65
11/2/2018 16:00:00,45.48
11/5/2018 16:00:00,46.14
11/6/2018 16:00:00,46.5
11/7/2018 16:00:00,47.9
11/8/2018 16:00:00,48.44
11/9/2018 16:00:00,47.11
11/12/2018 16:00:00,45.62
11/13/2018 16:00:00,45.12
11/14/2018 16:00:00,44.33
11/15/2018 16:00:00,46.77
11/16/2018 16:00:00,46.35
11/19/2018 16:00:00,45.75
11/20/2018 16:00:00,44.49
11/21/2018 16:00:00,44.89
11/23/2018 13:00:00,44.54
11/26/2018 16:00:00,45.57
11/27/2018 16:00:00,46.12
11/28/2018 16:00:00,47.29
11/29/2018 16:00:00,47.34
11/30/2018 16:00:00,47.87
12/3/2018 16:00:00,48.74
12/4/2018 16:00:00,47.35
12/6/2018 16:00:00,48.39
12/7/2018 16:00:00,46.44
12/10/2018 16:00:00,46.86
12/11/2018 16:00:00,47.09
12/12/2018 16:00:00,47.42
12/13/2018 16:00:00,47.47
12/14/2018 16:00:00,45.82
12/17/2018 16:00:00,44.2
12/18/2018 16:00:00,44.06
12/19/2018 16:00:00,43.14
12/20/2018 16:00:00,42.49
12/21/2018 16:00:00,41.85
12/24/2018 13:00:00,40.28
12/26/2018 16:00:00,42.47
12/27/2018 16:00:00,42.91
12/28/2018 16:00:00,42.77
12/31/2018 16:00:00,43.33
1/2/2019 16:00:00,42.95
1/3/2019 16:00:00,41.07
1/4/2019 16:00:00,42.92
1/7/2019 16:00:00,43.21
1/8/2019 16:00:00,43.56
1/9/2019 16:00:00,43.32
1/10/2019 16:00:00,43.24
1/11/2019 16:00:00,43.49
